@relation 'bmtrain-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1'

@attribute bm.price numeric
@attribute bm.event1 {DINNER,LUNCH,DAILY,BREAKFAST}
@attribute bm.physical_description1 {OTHER,FOLDER,BROADSHEET,CARD,BOOKLET}
@attribute bm.states {CA,NY,AR,ND,AL,IA,IL,LA,IN,MO,MA,NE,WA,NJ,RI,CO,OH,PA,HI,CP}
@attribute bm.Dish_name {'Boiled potatoes','Mashed potatoes'}

@data
0.1,DINNER,FOLDER,IA,'Mashed potatoes'
0.15,DAILY,BROADSHEET,CA,'Mashed potatoes'
0.05,DAILY,CARD,CO,'Mashed potatoes'
0.2,DAILY,CARD,IL,'Mashed potatoes'
0.2,DAILY,CARD,IL,'Mashed potatoes'
0.1,DINNER,BOOKLET,CA,'Mashed potatoes'
0.15,DAILY,BROADSHEET,IN,'Mashed potatoes'
0.05,DAILY,CARD,CO,'Mashed potatoes'
0.2,LUNCH,BROADSHEET,NY,'Mashed potatoes'
0.05,DAILY,FOLDER,NY,'Mashed potatoes'
0.2,DINNER,BOOKLET,NY,'Mashed potatoes'
0.1,DINNER,FOLDER,NY,'Mashed potatoes'
0.05,LUNCH,BROADSHEET,OH,'Mashed potatoes'
0.15,DAILY,BROADSHEET,NY,'Mashed potatoes'
0.1,DAILY,FOLDER,NJ,'Mashed potatoes'
0.15,DINNER,FOLDER,NY,'Mashed potatoes'
0.15,DINNER,BOOKLET,PA,'Mashed potatoes'
0.15,LUNCH,BROADSHEET,NY,'Mashed potatoes'
0.1,DINNER,CARD,NY,'Mashed potatoes'
0.2,LUNCH,CARD,IL,'Mashed potatoes'
0.2,LUNCH,CARD,IL,'Mashed potatoes'
0.05,DAILY,FOLDER,AR,'Mashed potatoes'
0.25,LUNCH,CARD,NY,'Mashed potatoes'
0.1,DAILY,FOLDER,IL,'Mashed potatoes'
0.15,DINNER,CARD,MA,'Mashed potatoes'
0.2,DINNER,BROADSHEET,NY,'Mashed potatoes'
0.1,DINNER,BROADSHEET,RI,'Mashed potatoes'
0.1,DINNER,CARD,LA,'Mashed potatoes'
0.1,DAILY,FOLDER,LA,'Mashed potatoes'
0.1,DAILY,CARD,NY,'Mashed potatoes'
0.15,DINNER,FOLDER,NY,'Mashed potatoes'
15,LUNCH,CARD,NY,'Mashed potatoes'
0.15,DINNER,BROADSHEET,CA,'Mashed potatoes'
0.15,LUNCH,BROADSHEET,AR,'Mashed potatoes'
0.15,DINNER,BOOKLET,NY,'Mashed potatoes'
0.1,LUNCH,CARD,AR,'Mashed potatoes'
0.2,DAILY,CARD,IL,'Mashed potatoes'
0.2,DINNER,FOLDER,NY,'Mashed potatoes'
0.1,DINNER,FOLDER,NY,'Mashed potatoes'
0.1,DINNER,CARD,NY,'Mashed potatoes'
0.1,DAILY,CARD,IL,'Mashed potatoes'
0.2,DINNER,FOLDER,NY,'Mashed potatoes'
0.15,DINNER,BROADSHEET,NY,'Mashed potatoes'
0.2,LUNCH,CARD,NY,'Mashed potatoes'
0.15,LUNCH,CARD,HI,'Mashed potatoes'
