"","bm.Dish_name","bm.price","bm.event1","bm.physical_description1","bm.states"
"7377","Mashed potatoes",0.1,"LUNCH","CARD","AR"
"7469","Mashed potatoes",0.1,"BREAKFAST","FOLDER","NY"
"7536","Mashed potatoes",0.15,"DINNER","FOLDER","CA"
"7601","Mashed potatoes",0.1,"DAILY","FOLDER","IN"
"8664","Mashed potatoes",0.1,"DINNER","BROADSHEET","IN"
"8677","Mashed potatoes",0.1,"DINNER","FOLDER","MA"
"8679","Mashed potatoes",0.15,"DAILY","CARD","NY"
"8685","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"8981","Mashed potatoes",0.15,"DINNER","FOLDER","NY"
"8994","Mashed potatoes",0.15,"DAILY","CARD","NY"
"9004","Mashed potatoes",0.2,"DINNER","BROADSHEET","NY"
"9005","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"9046","Mashed potatoes",0.15,"LUNCH","CARD","AR"
"9048","Mashed potatoes",0.15,"DAILY","CARD","NY"
"9099","Mashed potatoes",0.2,"LUNCH","CARD","ND"
"9100","Mashed potatoes",0.05,"LUNCH","CARD","NY"
"9102","Mashed potatoes",0.15,"DINNER","FOLDER","AL"
"9121","Mashed potatoes",0.15,"LUNCH","BROADSHEET","NY"
"9136","Mashed potatoes",0.1,"LUNCH","CARD","AL"
"9143","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"9148","Mashed potatoes",0.1,"LUNCH","BROADSHEET","NY"
"9160","Mashed potatoes",0.15,"DINNER","CARD","NY"
"9197","Mashed potatoes",10,"LUNCH","CARD","AR"
"9200","Mashed potatoes",0.15,"DAILY","CARD","NY"
"9203","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"9207","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"9209","Mashed potatoes",0.1,"LUNCH","CARD","AL"
"9217","Mashed potatoes",0.15,"LUNCH","CARD","NY"
"9219","Mashed potatoes",0.15,"DINNER","CARD","NY"
"9250","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"9251","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"9252","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"9264","Mashed potatoes",0.1,"LUNCH","BROADSHEET","CA"
"9323","Mashed potatoes",0.15,"LUNCH","CARD","AR"
"9343","Mashed potatoes",0.1,"DAILY","FOLDER","NY"
"9347","Mashed potatoes",0.1,"LUNCH","BROADSHEET","NY"
"9348","Mashed potatoes",0.1,"LUNCH","BROADSHEET","NY"
"9350","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"9425","Mashed potatoes",0.1,"DINNER","FOLDER","RI"
"9440","Mashed potatoes",0.1,"LUNCH","CARD","NY"
"9467","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"9512","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"9525","Mashed potatoes",0.1,"DAILY","CARD","CO"
"9527","Mashed potatoes",0.1,"LUNCH","CARD","CO"
"9536","Mashed potatoes",0.1,"DAILY","BROADSHEET","NY"
"9548","Mashed potatoes",0.1,"DINNER","FOLDER","IA"
"9562","Mashed potatoes",0.15,"DAILY","BROADSHEET","CA"
"9563","Mashed potatoes",0.05,"DAILY","CARD","CO"
"9580","Mashed potatoes",0.2,"DAILY","CARD","IL"
"9581","Mashed potatoes",0.2,"DAILY","CARD","IL"
"9600","Mashed potatoes",0.1,"DINNER","BOOKLET","CA"
"9601","Mashed potatoes",0.15,"DAILY","BROADSHEET","IN"
"9623","Mashed potatoes",0.05,"DAILY","CARD","CO"
"9624","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"9626","Mashed potatoes",0.05,"DAILY","FOLDER","NY"
"9630","Mashed potatoes",0.2,"DINNER","BOOKLET","NY"
"9693","Mashed potatoes",0.1,"DINNER","FOLDER","NY"
"9700","Mashed potatoes",0.05,"LUNCH","BROADSHEET","OH"
"9711","Mashed potatoes",0.15,"DAILY","BROADSHEET","NY"
"9713","Mashed potatoes",0.1,"DAILY","FOLDER","NJ"
"9729","Mashed potatoes",0.15,"DINNER","FOLDER","NY"
"9752","Mashed potatoes",0.15,"DINNER","BOOKLET","PA"
"9759","Mashed potatoes",0.15,"LUNCH","BROADSHEET","NY"
"9815","Mashed potatoes",0.1,"DINNER","CARD","NY"
"9858","Mashed potatoes",0.2,"LUNCH","CARD","IL"
"9862","Mashed potatoes",0.2,"LUNCH","CARD","IL"
"9875","Mashed potatoes",0.05,"DAILY","FOLDER","AR"
"9879","Mashed potatoes",0.25,"LUNCH","CARD","NY"
"9908","Mashed potatoes",0.1,"DAILY","FOLDER","IL"
"9911","Mashed potatoes",0.15,"DINNER","CARD","MA"
"9915","Mashed potatoes",0.2,"DINNER","BROADSHEET","NY"
"9961","Mashed potatoes",0.1,"DINNER","BROADSHEET","RI"
"9980","Mashed potatoes",0.1,"DINNER","CARD","LA"
"9987","Mashed potatoes",0.1,"DAILY","FOLDER","LA"
"9999","Mashed potatoes",0.1,"DAILY","CARD","NY"
"10005","Mashed potatoes",0.15,"DINNER","FOLDER","NY"
"10011","Mashed potatoes",15,"LUNCH","CARD","NY"
"10015","Mashed potatoes",0.15,"DINNER","BROADSHEET","CA"
"10042","Mashed potatoes",0.15,"LUNCH","BROADSHEET","AR"
"10051","Mashed potatoes",0.15,"DINNER","BOOKLET","NY"
"10083","Mashed potatoes",0.1,"LUNCH","CARD","AR"
"10089","Mashed potatoes",0.2,"DAILY","CARD","IL"
"10112","Mashed potatoes",0.2,"DINNER","FOLDER","NY"
"10122","Mashed potatoes",0.1,"DINNER","FOLDER","NY"
"10168","Mashed potatoes",0.1,"DINNER","CARD","NY"
"10186","Mashed potatoes",0.1,"DAILY","CARD","IL"
"10189","Mashed potatoes",0.2,"DINNER","FOLDER","NY"
"10200","Mashed potatoes",0.15,"DINNER","BROADSHEET","NY"
"10222","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"10255","Mashed potatoes",0.15,"LUNCH","CARD","HI"
"10319","Mashed potatoes",0.1,"DAILY","FOLDER","NY"
"10334","Mashed potatoes",0.1,"DINNER","FOLDER","MO"
"10338","Mashed potatoes",0.15,"DAILY","BROADSHEET","NY"
"10342","Mashed potatoes",0.15,"LUNCH","CARD","AR"
"10348","Mashed potatoes",0.15,"DINNER","CARD","CA"
"10406","Mashed potatoes",0.65,"DAILY","OTHER","CP"
"10417","Mashed potatoes",0.1,"LUNCH","CARD","AR"
"10519","Mashed potatoes",0.1,"LUNCH","FOLDER","NY"
"10532","Mashed potatoes",0.1,"DINNER","FOLDER","MA"
"10576","Mashed potatoes",0.15,"DINNER","FOLDER","CA"
"11704","Mashed potatoes",0.1,"DINNER","BROADSHEET","IN"
"11716","Mashed potatoes",0.1,"DINNER","FOLDER","MA"
"11717","Mashed potatoes",0.1,"DINNER","FOLDER","MA"
"11725","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
