"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"4731",219,"Boiled potatoes",55290,0.2,29165,55290,"","","29x21.5cm folded; 29x43cm open","","1950-03-07T00:00:00Z",""
"4732",219,"Boiled potatoes",55388,0.15,29183,55388,"","","30.5x21cm folded; 30.5x42cm open","","1951-06-07T00:00:00Z",""
"4733",219,"Boiled potatoes",55537,0.35,29215,55537,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1952-12-24T00:00:00Z",""
"4734",219,"Boiled potatoes",55540,0.35,29216,55540,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1952-12-26T00:00:00Z",""
"4735",219,"Boiled potatoes",55640,0.4,29236,55640,"","","29.5x20.5cm folded; 29.5x40.5cm open","Room service menu","1954-08-08T00:00:00Z",""
"4736",219,"Boiled potatoes",55694,NA,29248,55694,"","","28x19cm ","","1954-03-03T00:00:00Z",""
"4737",219,"Boiled potatoes",557,NA,12596,557,"","","","","1900-04-18T00:00:00Z",""
"4738",219,"Boiled potatoes",5576,NA,14274,5576,"DINNER","BLEECKER,THOMPSON & SULLIVAN STREETS,NY","BROADSIDE; PHOTOGRAPH;4.5 X 9.5;","","1901-09-14T00:00:00Z","NY"
"4739",219,"Boiled potatoes",55765,0.15,29272,55765,"","","31.5x21.5cm folded; 31.5x43cm open","","1954-12-09T00:00:00Z",""
"4740",219,"Boiled potatoes",5578,NA,14275,5578,"BREAKFAST","EN ROUTE ""FRIEDRICH DER GROSSE""","BROADSIDE; ILLUS; COL; 5.5 X 8.25;","MENU IN BOTH GERMAN & ENGLISH;","1901-09-14T00:00:00Z","DE"
"4741",219,"Boiled potatoes",55857,NA,29304,55857,"","","26.5x16.5cm","","1954-09-08T00:00:00Z",""
"4742",219,"Boiled potatoes",55859,NA,29305,55859,"","","25.5x17cm folded; 25.5x34cm open","","1954-12-31T00:00:00Z",""
"4743",219,"Boiled potatoes",55953,0.15,29316,55953,"","","30.5x20.5cm folded; 30.5x40.5cm open","","1954-01-01T00:00:00Z",""
"4744",219,"Boiled potatoes",55954,NA,29316,55954,"","","30.5x20.5cm folded; 30.5x40.5cm open","","1954-01-01T00:00:00Z",""
"4745",219,"Boiled potatoes",55955,NA,29316,55955,"","","30.5x20.5cm folded; 30.5x40.5cm open","","1954-01-01T00:00:00Z",""
"4746",219,"Boiled potatoes",55972,NA,29321,55972,"","","29x20.5cm ","","1954-02-07T00:00:00Z",""
"4747",219,"Boiled potatoes",56021,NA,29339,56021,"","","22x17cm folded; 22x34cm open","","1954-09-15T00:00:00Z",""
"4748",219,"Boiled potatoes",56046,NA,29350,56046,"","","28x21.5cm folded; 28x43cm open","","1954-01-01T00:00:00Z",""
"4749",219,"Boiled potatoes",56125,NA,29366,56125,"","","26.5x16.5cm","","1954-09-08T00:00:00Z",""
"4750",219,"Boiled potatoes",56131,NA,29369,56131,"","","28x19cm","","1954-01-01T00:00:00Z",""
"4751",219,"Boiled potatoes",56228,NA,29402,56228,"","","26.5x16.5cm","","1954-09-11T00:00:00Z",""
"4752",219,"Boiled potatoes",56237,NA,29405,56237,"","","19x14cm folded;19x28cm open","","1953-07-24T00:00:00Z",""
"4753",219,"Boiled potatoes",56240,NA,29407,56240,"","","27x19.5cm","","1953-07-24T00:00:00Z",""
"4754",219,"Boiled potatoes",56268,0.4,29415,56268,"","","30x20cm folded;30x41cm open","Room Service Dinner Menu","1953-08-09T00:00:00Z",""
"4755",219,"Boiled potatoes",56270,NA,29416,56270,"","","25.5x18cm folded; 25.5x36cm open","","1953-08-09T00:00:00Z",""
"4756",219,"Boiled potatoes",56442,0.4,29456,56442,"","","29.5x20.5cm folded; 29.5x40.5cm open","Room Service Dinner Menu","1953-11-28T00:00:00Z",""
"4757",219,"Boiled potatoes",56471,NA,29461,56471,"","","28x21.5cm folded; 28x43cm open","","1953-12-27T00:00:00Z",""
"4758",219,"Boiled potatoes",56475,NA,29462,56475,"","","28x21.5cm folded; 28x43cm open","","1953-12-27T00:00:00Z",""
"4759",219,"Boiled potatoes",56482,NA,29463,56482,"","","28x21.5cm folded; 28x43cm open","","1953-12-27T00:00:00Z",""
"4760",219,"Boiled potatoes",56485,NA,29464,56485,"","","28x21.5cm folded; 28x43cm open","","1953-12-28T00:00:00Z",""
"4761",219,"Boiled potatoes",56492,NA,29465,56492,"","","28x21.5cm folded; 28x43cm open","","1953-12-28T00:00:00Z",""
"4762",219,"Boiled potatoes",56495,NA,29466,56495,"","","28x21.5cm folded; 28x43cm open","","1953-12-28T00:00:00Z",""
"4763",219,"Boiled potatoes",565,NA,12599,565,"","","","","1900-04-18T00:00:00Z",""
"4764",219,"Boiled potatoes",56502,NA,29467,56502,"","","28x21.5cm folded; 28x43cm open","","1953-12-28T00:00:00Z",""
"4765",219,"Boiled potatoes",56505,NA,29468,56505,"","","28x21.5cm folded; 28x43cm open","","1953-12-29T00:00:00Z",""
"4766",219,"Boiled potatoes",56509,NA,29469,56509,"","","28x21.5cm folded; 28x43cm open","","1953-12-30T00:00:00Z",""
"4767",219,"Boiled potatoes",56516,NA,29470,56516,"","","28x21.5cm folded; 28x43cm open","","1953-12-30T00:00:00Z",""
"4768",219,"Boiled potatoes",56519,NA,29471,56519,"","","28x21.5cm folded; 28x43cm open","","1953-12-30T00:00:00Z",""
"4769",219,"Boiled potatoes",5652,0.1,14299,5652,"DINNER","DINING CAR","CARD; ILLUS; COL; 5.5X7.25;","EMBLEM; DATE HAND WRITTEN; PHOTOGRAPH OF SALT LAKE CITY ON BACK;","1901-09-01T00:00:00Z","AR"
"4770",219,"Boiled potatoes",56525,NA,29472,56525,"","","28x21.5cm folded; 28x43cm open","","1953-12-30T00:00:00Z",""
"4771",219,"Boiled potatoes",56529,NA,29473,56529,"","","28x21.5cm folded; 28x43cm open","","1953-12-31T00:00:00Z",""
"4772",219,"Boiled potatoes",56536,NA,29474,56536,"","","28x21.5cm folded; 28x43cm open","","1953-12-31T00:00:00Z",""
"4773",219,"Boiled potatoes",56539,NA,29475,56539,"","","28x21.5cm folded; 28x43cm open","","1953-12-31T00:00:00Z",""
"4774",219,"Boiled potatoes",56541,NA,29476,56541,"","","","","1953-12-28T00:00:00Z",""
"4775",219,"Boiled potatoes",56542,NA,29477,56542,"","","","","1953-12-29T00:00:00Z",""
"4776",219,"Boiled potatoes",56543,NA,29478,56543,"","","","","1953-12-30T00:00:00Z",""
"4777",219,"Boiled potatoes",56544,NA,29479,56544,"","","","","1953-12-31T00:00:00Z",""
"4778",219,"Boiled potatoes",56673,0.2,29521,56673,"","","32.5x19cm ","","1955-06-20T00:00:00Z",""
"4779",219,"Boiled potatoes",56829,NA,29573,56829,"","","26.5x21cm folded; 26.5x42cm open","","1955-09-24T00:00:00Z",""
"4780",219,"Boiled potatoes",56893,NA,29587,56893,"","","26.5x21cm folded; 26.5x42cm open","","1955-11-21T00:00:00Z",""
"4781",219,"Boiled potatoes",569,NA,12600,569,"","","","","1900-04-18T00:00:00Z",""
"4782",219,"Boiled potatoes",56902,NA,29593,56902,"","","26.5x21cm folded; 26.5x42cm open","","1955-11-27T00:00:00Z",""
"4783",219,"Boiled potatoes",56906,NA,29594,56906,"","","20x15cm folded; 20x30cm open","","1955-11-29T00:00:00Z",""
"4784",219,"Boiled potatoes",56911,NA,29596,56911,"","","27x21cm folded; 27x42cm open","","1955-11-29T00:00:00Z",""
"4785",219,"Boiled potatoes",57000,0.25,29617,57000,"","","30x23cm folded; 30x45cm open","","1955-02-03T00:00:00Z",""
"4786",219,"Boiled potatoes",57061,NA,29633,57061,"","","30.5x22cm","","1955-12-19T00:00:00Z",""
"4787",219,"Boiled potatoes",57096,0.15,29649,57096,"","","37x23.5cm folded; 37x47cm open","","1945-08-02T00:00:00Z",""
"4788",219,"Boiled potatoes",57170,0.45,29673,57170,"","","30.5x23cm folded; 30.5x46cm open","","1945-12-27T00:00:00Z",""
"4789",219,"Boiled potatoes",57302,0.15,29707,57302,"","","34x22.5cm folded; 34x44.5cm open","","1944-04-06T00:00:00Z",""
"4790",219,"Boiled potatoes",57336,0.15,29714,57336,"","","","","1944-06-12T00:00:00Z",""
"4791",219,"Boiled potatoes",57357,0.25,29719,57357,"","","19x13cm folded; 19x25.5cm open","","1944-07-05T00:00:00Z",""
"4792",219,"Boiled potatoes",57381,0.1,29726,57381,"","","30.5x23cm folded; 30.5x45.5cm open","","1944-08-06T00:00:00Z",""
"4793",219,"Boiled potatoes",57479,NA,29749,57479,"","","25.5x15.5cm folded; 25.5x30.5cm open","\The Oldest Eating Place in Hartford\""""","1945-03-09T00:00:00Z",""
"4794",219,"Boiled potatoes",57480,0.15,29749,57480,"","","25.5x15.5cm folded; 25.5x30.5cm open","\The Oldest Eating Place in Hartford\""""","1945-03-09T00:00:00Z",""
"4795",219,"Boiled potatoes",57789,NA,29827,57789,"","","26.5x18cm folded; 26.5x36cm open","","1946-07-01T00:00:00Z",""
"4796",219,"Boiled potatoes",57821,NA,29832,57821,"","","26.5x21cm folded; 26.5x42cm open","","1946-10-25T00:00:00Z",""
"4797",219,"Boiled potatoes",57822,NA,29832,57822,"","","26.5x21cm folded; 26.5x42cm open","","1946-10-25T00:00:00Z",""
"4798",219,"Boiled potatoes",57828,NA,29834,57828,"","","26.5x21cm folded; 26.5x42cm open","","1946-10-27T00:00:00Z",""
"4799",219,"Boiled potatoes",57840,NA,29838,57840,"","","26.5x21cm folded; 26.5x42cm open","","1946-10-30T00:00:00Z",""
